texto,real
"@peoples_pundit @realdonaldtrump i saw a good football one earlier. bears (democrat) vs colts (republicans) in election years have correctly predicted the result in the past several elections. fwiw, colts won yesterday",0
@realdonaldtrump https://t.co/gbnhvdmj7d,0
"@realdonaldtrump @flotus if you are lying to avoid the debate, you are a coward. if you are not lying, you cannot even keep your wife and you safe. either way this is not good for your campaign.",-1
"@realdonaldtrump trump with 21,000 documented lies talks about the fake news .be glad we have media",-1
"@realdonaldtrump you're a traitor and a mass murderer with 215,000+ dead and 6,800,000+ infected americans and 20+ dead american soldiers to your name #traitortrump #trumptreason #goptraitors https://t.co/uihvav9sgu",-1
@realdonaldtrump gad bless our president get them back soon,1
@altmtrainier @realdonaldtrump or dead.,0
@realdonaldtrump fuck you,-1
@realdonaldtrump so how does average citizen go about getting getting these special drugs?,0
@pastordscott @realdonaldtrump your idiot president who doesn't wear a mask and ignored those requests that the first debate is why. moron.,-1
@therealkmckidd @realdonaldtrump yes! i feel sorry for the white house staff. i hope they have ppe.,0
"@pastormarkburns @realdonaldtrump no, they just all tested positive for stupidity for refusing to wear a mask.",-1
@realdonaldtrump the only things joe biden is good at is spending the american people’s money on things we don’t want and creating bureaucratic red tape!!,0
@jacobkschneider @realdonaldtrump good place for a covid run,0
"@darrellissa @realdonaldtrump it's like you've not seen what happened anywhere else in the world. you, sir, are ignorant, blind, and wilfully pushing the american people closer to infection, illness, and death",-1
@urocklive1 @marshablackburn @realdonaldtrump she really is next level stupid.,0
@realdonaldtrump boy if he was that dumb why was he the head of the fbi.,0
@realdonaldtrump ❤️❤️❤️,1
@realdonaldtrump #trump2020nowmorethanever 🇺🇸🇺🇸,1
@senatorloeffler @realdonaldtrump @flotus the truth of the matter is we can't change the regime and we can't ignore china. we should work with china when we can and confront china when we should. there is no easy simplistic solution here. with respect to covid china is under extreme authoritarian rule and this is,0
@murray_nyc @realdonaldtrump honestly. it's the medicine ramsider there giving him my friends son had it they only had 40 viles at vanderbilt in nashville because he was 45 they gave it to him he was an hr from going on ventilator and later that night he started feeling better,0
@realdonaldtrump scumbag!,-1
@realdonaldtrump c.s.i. miami. vote!,0
@realdonaldtrump if you want don the con to start paying taxes vote democrat!,0
"@bedualspace @caslernoel @realdonaldtrump the caddies nick name for him is brilliant. they called trump ""pele"" because he was so good at frequently kicking the ball back onto the fairway!",0
"@realdonaldtrump you have not quarantined, you went to your fundraiser in bedminster after hope hicks tested positive. you lie about absolutely everything. #trumplies",-1
@realdonaldtrump https://t.co/7oudptxtop,-1
"@realdonaldtrump @potus @flotus follow indian medicine &amp; get rid of #chinesewuhanvirus take concoction of holy basil, ginger, black pepper with honey 3 times a day indian cow's milk with turmeric powder at night before sleep this is my own experience",0
"@realdonaldtrump @flotus ""i really don't care, do u?"" lol",0
@patrici60712537 @mitchellreports @realdonaldtrump there is nobody around him and this is his house!,0
"@bonbee81 @johnrobertsfox but...but... he said to his wife (who said @realdonaldtrump denounced white supremacy yesterday)the word ""that""' instead of white supremacy and john's wittle feelings are hurt. roberts made a complete ass of himself on tv. if i were john, i'd resign. smh",0
wait nan pfeif... u can’t use water as insulin? @realdonaldtrump might recommend “injecting disinfectant” ?,0
@realdonaldtrump @flotus 🤪😂🤣☠️👍,0
@donaldjtrumpjr @realdonaldtrump who appointed her? #bestpeople,0
"@realdonaldtrump and the only organisation you fully endorsed, in a live ""debate"" (i use the term debate loosely because you're incapable of a rational debate) is that of white supremacist groups. you're an evil, evil excuse of a human being.",-1
@realdonaldtrump stfu blowhard.,0
@realdonaldtrump hahaha.,0
@realdonaldtrump u are the best mr.trump ! https://t.co/ehjfjcglr8,1
@nancylees @frankamari2 @timrunshismouth @realdonaldtrump get a fucking grip nancy,0
"@rosssayz @juddpdeere45 @realdonaldtrump not mentioned because not true, troll",0
@sassy_jeanie @butchieboy58 @tomfitton @realdonaldtrump this is huge.,0
tough shame that @realdonaldtrump got the coronavirus. here i’ll send him a nice care package in the hopes that he gets better so bunker boy doesn’t downplay a serious virus again #maga #trump #trump2020 #hydroxychloroquine #disinfectant #trumphascovid #trumpcovid #trump https://t.co/n0rixltvgo,-1
@realdonaldtrump drugged dreaming again.,0
@realdonaldtrump bye loser,-1
@show_sharp @realdonaldtrump @flotus @joebiden good simulation.,0
@realdonaldtrump https://t.co/hopfd7c4vx,0
@toryboypierce @realdonaldtrump @joebiden @mikepence don't be so sure!!,0
"@realdonaldtrump @flotus you will recover quickly,i am sure. god bless both of you.",1
@realdonaldtrump you are on steroids.,-1
@realdonaldtrump announce aouar plz... and partey too if you can. get on the phone to stan... thx,0
"@aubreecevske @rothbard1776 @presssec @realdonaldtrump @flotus god guides all of our steps, even those that think they guide their own; we all have purpose here and god's plans, thoughts and ways are not ours! i kneel at the foot of the cross because by his stripes i was healed!",0
"@mneilson82 @grifsmomma @dumpsterb4bie @peach_grease @cpeterso17 @tocktick5167ad @realdonaldtrump oh, so you were acting blinded and ignorant. good to know! typical.",0
@rhowardbrowne @realdonaldtrump bitch! wear a mask.,0
@realdonaldtrump looks like someone is trying harder to sound like him. still not close. more hate and selfishness if you want us to expect this is trump,-1
trump daddy had the rona pull through big dog we need 4 more years @realdonaldtrump,0
"@realdonaldtrump resign, and we’ll have one.",0
@saracarterdc @elainetodd11 @realdonaldtrump the only one who left it unclear is trump. the sycophants are happy to clarify.,0
@p3llsnow09 @sendougadams @realdonaldtrump is he a real senator he is not very bright is he and hardly any followers could be fake,0
"@hughhewitt @realdonaldtrump @potus hugh, are you secretly hoping he's going to die? someone who admires him might, instead, hope he stays in the hospital long enough to be in better health for the rest of the campaign.",0
"@gembiscuits @discussingfilm @realdonaldtrump know how i know you didnt lose somebody to this virus only to hear this man say ""it is what it is"" the day after you attended their zoom funeral? i wish him nothing. it is what it is.",0
@realdonaldtrump because you didn’t. and you’re an impotent cuck.,-1
@jfowler0615 @potus @realdonaldtrump best president eva!!,1
"@davidmweissman @realdonaldtrump if you ever watched his rallies you’d hear him condemn all the terrorists. but obviously, you only listen to the liberal media",0
@_sopeworld @realdonaldtrump @scavino45 @flotus is this better for you i'm just doing my job and that's paint https://t.co/dpwnzsu3aw,0
@therightmelissa @realdonaldtrump @flotus i lost humility? when trump disrespects every scientific recomendación. and leads w the wrong example of refusing to wear masks. he should only get $750 worth of treatment as that was his tax contribution.,-1
@loudlove777 @tedlieu @realdonaldtrump @potus @flotus that’s what i was saying,0
@artyworld @spring_harbinge @potus @realdonaldtrump no real doctor would use a person in that condition and put them on display under any circumstance. i month this dill jill was a school teacher!!!!! lol what a job she does&gt;&gt;&gt;&gt;&gt;a loving hate job??,0
hahaha @realdonaldtrump @realpersonpltcs @karenlance18,0
@realdonaldtrump https://t.co/rzksbphq9o,-1
@ivankatrump @realdonaldtrump https://t.co/ojnjlinefl,0
"@realdonaldtrump funny how a regular citizen could face criminal charges for leaving the hospital early when positive for covid-19. but you, a walking slime ball, can endanger hundreds of not thousands, and completely get away with it. amazing.",-1
@nevada7desert @realdonaldtrump did you see him wearing that mask in shame as he jolly trotted off to walter reedster's?,0
"@realdonaldtrump must be nice to have so many doctors taking care of you, especially after your incompetence caused over 208,000 american deaths and over 7 million american infections with covid. https://t.co/obvfjzgbky",-1
@mmeyerstpc @johnjamesmi i just can’t get over james supporting @realdonaldtrump embrace of white supremacist.,0
@hughhewitt @joebiden @realdonaldtrump do what all night? act like a crazed maniac? yeah he could.,0
@jacobheilbrunn @realdonaldtrump fuck no,0
"@lcaromunoz @presssec @realdonaldtrump why should god bless him? he's let 210000 people die he's put children in cages, he's let russian bounties sit on american troops heads! what is it that god should be proud of about the dumpster fire?",-1
@michele67835135 @stateoffl @evanoeding @hkrassenstein @realdonaldtrump we've already seen it. he didn't pay for a decade,0
@hays2mark @wanaoni_michael @realdonaldtrump whose chairman is black and 2nd in line hispanic.,0
@realdonaldtrump brehhh is the ⛈ upon us or not?!,0
@realdonaldtrump @flotus god bless you!,1
@unleashthetea @realdonaldtrump you are stupid if you believe that comment,0
"@poedoepie @sgallman @realdonaldtrump @timmurtaugh @joebiden there must to be, at least, golden gate distance between them.",0
@michael_n78 @stephenking @realdonaldtrump @potus @seanhannity https://t.co/dtbpkalg9z,0
"@realdonaldtrump utter nonsense it's hard to believe this atrocious tweet is from the president of the usa. he is basically referring to &gt;50% of the country (all those who don't support him) as ""radical left anarchists, agitators, looters &amp; lunatics!"" the #1 lunatic in the usa is donald trump.",-1
@realdonaldtrump @flotus spoof fake news,0
"@theleoterrell @realdonaldtrump @seanhannity @foxnews @newsmax a fire brand replacing a fire brand ""perfect for america"" (we the people) love it",0
"⁦@realdonaldtrump⁩,we had a trump rally at fountain hills park, where you campaigned 4 yrs ago. nice turnout, with a lot of support from passerby’s , with very little anti-support. local pizzeria brought pizza down at the end. https://t.co/vmcesy6pfx",0
@wtepaminondas @ynkutner @iteachspeech31 @realdonaldtrump @potus @flotus here’s the science. yes in close quarters for extended time. no outside or casual contact https://t.co/j1phtf0hye,0
@realdonaldtrump best president ever for usa,1
@koolkarol13 @candour99 @realdonaldtrump you maga cultists are such a bunch of lowlife scumbag,0
@real_defender @realdonaldtrump https://t.co/katyt25xlq,0
"@paula_white @realdonaldtrump @flotus as for me, i will call upon god, and the lord shall save me. evening and morning and at noon i will pray, and cry aloud, and he shall hear my voice. psalm 55:16-17 🙏❤️🙏",0
@thesimpsons @realdonaldtrump #superpowers #goheadtohead #goodluck #1winneronly #2020nojoke feel free to tap in for any guidance 😉 https://t.co/c8naog0fke,0
@aprildryan @realdonaldtrump is a total fool and con! the moderator did not have any control even though he tried! @joebiden proved that he cares about the people and spoke to the people. #votehimout,-1
@realdonaldtrump speedy recovery potus,0
didnt chris wallace ask @realdonaldtrump to denounce the proud boys? after trump asked who do you want me to disavow?,0
@maryemcpherson @getb0nked @realdonaldtrump maybe amphibious?,0
"@godisgood1961 @ams1701 @matthewjshow @realdonaldtrump he's a trump supporting patriot kim. the photo of the geek was a representation of the real men of the left, darlin'...😁",0
@expatnhongkong @tooltimetim5 @davidmkrauth @mdswoman @murray_nyc @realdonaldtrump @flotus am i in moscow? fuck no i’m in the us.,0
@realdonaldtrump هههههههههههه,0
@timburt @realdonaldtrump @flotus we are praying for you both !!!! for healing and wholeness !!!!,1
"@tulsigabbard @realdonaldtrump @flotus thank you for staying above the evil of your fellow dems, many who are sitting members of congress, wishing death to our potus &amp; flotus. i couldn’t stand obama, truly, but i never wished him harm or death. it’s just sick.",1
@realdonaldtrump @potus @flotus eating soap will help!,0
@mofa_taiwan @realdonaldtrump @flotus thank you taiwan,0
@nasirshaikhshow @realdonaldtrump hope you win. with you and praying for devine intervention form my lord father son holy spirit. god bless america with leaders who love the country and for the ppl. no artificial to apply. must have brotherly love.,1
@realdonaldtrump my guy really said pro-life in 2020,0
"@chelrigel @bewitchedas1 @mrsmogul @realdonaldtrump although @potus supports @jguaido, guaido officials have met more with democrats than with republicans and those bidenzolanos are front men or who have benefited from corruption of chavismo, with biden in power ... they will enjoy what was stolen ... with trump no!",0
@7news no wonder @realdonaldtrump is on @twitter all day it’s 3pm and nobody’s listening to him either. @nbcsnl do you want to make saturday nights funny again 📱me. i represent myself,0
"@jed43845003 @scriptyvevo @islavoiceacts @jschlatt @realdonaldtrump @flotus it's a joke lol, that's just how schaltt is. you can't take anything he says seriously",0
"@victormochere @realdonaldtrump @flotus, vic, that picture lakini? a whole lotta adjectives come to mind",0
@mikedewine @realdonaldtrump @cwru @clevelandclinic you are as delusional as the rest of the sycophants/enablers that praise anything that orange buffoon does or says....guess you always had a soft spot for the school-yard bully that took your lunch money from you while you thanked him for forcing you to do so....sigh,0
@realdonaldtrump you didn't totally close the country to china. you slaughtered over 200k americans. are you perhaps the most prolific serial killer ever?,-1
"@jschagene @aynrandpaulryan @realdonaldtrump @flotus the person who gave it to him was wearing a mask. people catch it with masks often. he has said at just about every press conference to ""wear a mask and socially distance."" ""follow the guidelines"" ....but cnn doesn't cover that part so i guess you wouldn't know lol",0
"@infantry0300 @realdonaldtrump since we know he doesn't wear condoms, i'd say it looks like a deep brain stimulator.",0
"@realdonaldtrump , @gop ,@projectlincoln ,@repsforbiden https://t.co/ivd0s1ijrh",0
@h_mitchellphoto @realdonaldtrump wait until the 5150 expires and he’s no longer sedated.,0
@realdonaldtrump we are. voting you out of course,-1
"@realdonaldtrump @flotus my prayers go you, your wife, and all those who have been infected. may you have a full and speedy recovery.",1
"@hkrassenstein @realdonaldtrump and gonna show everyone you get it and get over it. hes in the highest risk group age wise, so what you gonna have to say when he gets over it with no problem",0
@acountrygirl3 @adjunctprofesor @realdonaldtrump i'm with you,0
@realdonaldtrump wishing you a speedy recovery mr. president 🙏🏻,1
@tommyknocker__ @rorergoff @mike_pence @realdonaldtrump @tulsigabbard pence has no spine! he will have to run off stage and ask mother for the answers!,-1
@realdonaldtrump really happy to hear you're feeling better 👍🏼 love to you too😍 https://t.co/ijmtecgcck,1
@real_defender @realdonaldtrump you are a coward and idiot.,0
"@erictrump @realdonaldtrump he's signing his name on a blank sheet of paper, probably to sell on ebay to his cultists to help pay off his hundreds of millions in debt to russian oligcarchs",-1
@waynefromns @opieradio @realdonaldtrump is there anyway it could have a ventilation system that can be turned on / off?,0
@currie14_kelly @dblackley7 @realdonaldtrump yes we are! yes we are! the rich want to shop! the rich want to eat in their restaurants! the rich want their freedom back! the rich are getting poorer because of making no money including pedowood industry!cali has woken up! even the terrorist grp blm is bored n tired of the bs!,0
"@vslatr @erictrump @realdonaldtrump and he brags about not reading his briefings. papers are probably samples of new merch he can get for nickels because it is made in china, but poor fools will pay him hundreds of dollars for it b/c it has maga on it. 🤷🏼‍♀️",0
@grande_bad_idea @realdonaldtrump one day you will stand before god to give account of your hate filled comment and receive his justice for the hate that you spew.,0
@tress46749663 @oidcardigans @thebradfordfile @realdonaldtrump https://t.co/vc6dauvlzk,0
@douglasbagwell2 @raveninak @presssec @realdonaldtrump parody,0
61% for @realdonaldtrump so far.,0
@kearney9 @hkrassenstein @realdonaldtrump @foxnews she's deranged,0
@realdonaldtrump #trump2020 #bolsonaro2022,1
@murray_nyc @realdonaldtrump actual he's doing well for one reason: 1. he is the president.,0
@donadickinson @joncoopertweets @realdonaldtrump proven! russian hackers is interfering in the elections! the proof is here! https://t.co/70iuvgt8zc,0
@leavittnovelist @realdonaldtrump i was on a plane last year with a ny banker and his wife. learned a lot about how no bank would loan to him there. so where did the money come from? hmmmmm,0
@realdonaldtrump fool,-1
@realdonaldtrump https://t.co/5fgdi84cb9,0
"@realdonaldtrump wow... he is pale. he is even more rambling than normal. is all about him until like 3 minutes in, and still figured out what way to make his wife's illness about him.",0
"@realdonaldtrump you're not helping things as usual. the meds you're taking have side effects you may feel good now, i doubt it, but shortly you could be down and out. so keep your bs to yourself no one believes you. and these meds are not fda approved. but thanks for being a guinea 🐖.",-1
@jacobkschneider @trumpwarroom @realdonaldtrump we have another trump super spreader event outside the hospital. trump supporters are a disgrace to this country. trump supporters are not patriots. they are selfish individuals,-1
@realdonaldtrump a role model president for the entire world... a strongest and bravest president who never ever believes in giving up.,1
@realdonaldtrump 😂 https://t.co/w6ugai4k8g,0
@sjpfish @realdonaldtrump liberal meets fist,0
@curtis_zhao @wkybigblue @realdonaldtrump u know 3 words + a smiley...wow,0
@realdonaldtrump lolllllllllll🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 u guys so funny,0
@consueloyd @rosalita356 @realdonaldtrump @flotus great! you can put me on your block list. are canadians allowed?,0
@realdonaldtrump america will be great with you or without!,0
@realdonaldtrump @flotus deserved mr. prez 🔥,0
"@teamtrump @realdonaldtrump i am a trumper but i would never promote the catholic church in any way shape or form. every member, by tithing, enables pedophile priests. wake up and get out that brain washing cult. got a negative response to me, don't bother, because your pedo opinion means nothing to me.",0
"@msforester143_ @kevpele @charalanahzard @realdonaldtrump @flotus dude, she literally states in her bio (which you obviously read) that she is australian.",0
"@jacobheilbrunn @realdonaldtrump thoughts and prayers, dick.",0
@denlesks @realdonaldtrump this scum is a waste of space and a worthless f°°° that needs to feel the fullest extent of the law!,0
@realdonaldtrump https://t.co/qnk6ikxx5n,0
@realdonaldtrump 😂😂. 😂😂. 😂😂😂😂 😂😂. 😂😂. 😂😂 😂😂 😂😂 😂😂 😂😂 😂😂. 😂😂😂😂 😂😂. 😂😂. 😂😂 😂😂. 😂😂. 😂😂 😂😂😂😂. 😂😂. 😂😂😂😂,0
@realdonaldtrump have you tried sitting on a lightbulb?,0
@realdonaldtrump i prefer nominees who don't sell out their country and its troops to settle their personal international debts.,-1
@realdonaldtrump @loudobbs oh my god! talk about fake news. hahaha. you nominated for a nobel peace prize? that is hilarious. you have no great mind or have done anything to further humanity. you have no social conscious and need to be tried for your crimes against humanity.,-1
@porter_anderson @brianstelter @fwhitfield @realdonaldtrump https://t.co/dm9inhzch1,0
@realdonaldtrump wallace was awful!!!! so biased it’s sickening.,0
@realdonaldtrump deranged delusional donnie,-1
@realdonaldtrump you dump as fuck,-1
@scottpresler @realdonaldtrump what about independents? i'm independent and voting trump.,1
@pastormarkburns @realdonaldtrump um no. what’s possible is none of them wear masks or social distance so they are super spreaders. they targeted themselves.,0
@realdonaldtrump @flotus shoulda wore a bigger mask,-1
@mrandyngo @fordfischer ukraine shit in america why trump @realdonaldtrump @whitehouse is not going after george soros,0
@realdonaldtrump vote joe biden for president vote joe biden for president,0
@silvano_trotta @realdonaldtrump to get her....,0
@realdonaldtrump they just need a mute button for your microphone when it’s not your turn to speak. they foolishly believed you would stick to the rules you’d agreed to. after 3 1/2 years they should know better than to believe an egotistical compulsive liar.,-1
"@politico @realdonaldtrump wants his cake, two scoops of ice cream. that’s what his #maga base expects.",0
@realdonaldtrump haha 750,0
@dannyzuker @waltshaub @realdonaldtrump yikes.,0
@hoot9356 @realdonaldtrump https://t.co/bo5w6xzdh2,0
@realdonaldtrump omg this is going to make the left’s heads spin 😂,1
"@segas22 @beschlossdc @realdonaldtrump he is a bully - more like grade school than high school, though.",0
@rhowardbrowne @realdonaldtrump god targeted trump,0
"@troyster510 @realdonaldtrump hey, you're still alive?",0
@kriskrus @realdonaldtrump #trumpvirus ;),0
@realcandaceo @joebiden @realdonaldtrump i think everyone needs to go to mr. duff’s classroom where you can actually learn the different type of communities👇🏾 https://t.co/k7i34d71gk,0
@realdonaldtrump ☠ going well..... think of all the americans who have died due to your neglect . your in a hospital still alive...they are not.,-1
@bbrashaw @mattyicesupdoe @hkrassenstein @realdonaldtrump not many anymore.,0
"@cbsnews @jeffglor dr. conley said @realdonaldtrump was not on oxygen thursday (no oxygen), friday (yesterday with the team while we were all here he was not on oxygen) or saturday (none at this moment). smart! no oxygen @ walter reed (while we were all here) but what about before he was admitted?",0
"@kayburley @realdonaldtrump but...he wanted to go to hospital as he didn't want to be stuck in the white house under quarantine. u heard him announce on the radio. bizarre statement, but true.",0
@paulsperry_ @realdonaldtrump make america hate again?,0
@realdonaldtrump ❤️,1
@mikebarbersd @kayleighmcenany @realdonaldtrump how many people have an actual staff of people at their house?,0
"@ozziev3 @realdonaldtrump people have died everywhere and when you have the most technologically advanced countrie on the planet you will have the most test kits and be able to find out how many people have it, people like you are acting like the us is the only place on the planet where this cough is",0
@larryhadfield2 @waves62422004 @realdonaldtrump yes the pussy grabbing president deserves respect...,-1
@erictrump @realdonaldtrump insiders say he has an 18 hole mini golf course set up and all he and the doctors do in the off time is play golf. source unknown. lol,-1
"@narendramodi @potus @realdonaldtrump @flotus good leaders against humanity , people , hurting woman should get covid-19 lord muruga jesus and allaha has given good punishment 😊",0
"@wsj if @realdonaldtrump followed the tax laws, there is no problem.",0
@msnbc what color is the sky in your world @realdonaldtrump ?,0
@sunsetlover68 @dodgergurl19 @realdonaldtrump @flotus you win.😂🤣😂🤣,1
