texto,real
@americanair why am i continually getting put on hold by painfully inexperienced people when calling your platinum desk?!,-1
@americanair pretty lame response to a two paged single spaced letter http://t.co/acebo6elpa,-1
"@americanair 
it's not what happens to us that matters...it's our response that matters. way to drop the ball aa.",-1
"@americanair i am looking for help on usairways award travel booked for wife and two boys, no seats assigned.",-1
@americanair @clarkey_19 we done it with 1 truck... no biggie 😄,0
@americanair and @itunesmusic have put me in bad mood. i haven't been this angry since spagnuolo coached the #rams,-1
@americanair and they cancelled flighted my flight and left me with no help to find a hotel to stay in. i slept in an airport for a night-_-,-1
"@americanair flight 1181 out of vegas to dfw. cancelled flightled sunday and monday, no whammie today!",-1
"@americanair ""airport snow removal method #22...""
keep up the good work folks, this is where cessna's become 747's! http://t.co/oumc1lrxdn",1
@americanair these birds could fly to south america for example #argentina,0
@americanair my flight 386 from jacksonville fl to dallas is showing cancelled flightled. what is going on? am i rebooked on another flight?,-1
"@americanair great, thanks!",1
@americanair awesome. thanks!,1
@americanair my flight 386 to dallas from jacksonville fl has been cancelled flightled. no one has notified me. what's going on?,-1
@americanair extremely upset that your baggage handlers decide to go in my luggage and take my belongings,-1
"@americanair flight 65 delayed over 4 hours on 2/22, had no gf meals despite my early request, attendant seat fell on my leg #badservice",-1
"@americanair but, what i can always rely on when i fly usair or american is that employees will be rude and unhappy.",-1
@americanair robocalls me with another cancelled flightation. and then when i don’t accept the change it won’t let me connect to an agent. just wow.,-1
"@americanair said that aa does not provide in-flight wifi on the routes to china based on some federal laws, but united does, why is that?",-1
"@americanair right. but more than two hours late flight, and it seems due to poor communication, which sounded like it was annoying on-plane staff",-1
@americanair i'm not sure what happened to my usairways status when the merger took place.,-1
@americanair can u help rebook passenger via twitter/dm. been on hold for 1.5 hours. thanks!,-1
"@americanair i'd like to apologize to the gate agent for flight aa76, i was not aware that zone 1 was after the nine other precious gems.",0
@americanair my key point of confusion is whether i can make this change even though the initial flight booking problems was on us airways metal?,0
@americanair origin/destination/dates are the same. going from us airways connecting flight to aa direct flight. award is saver level.,0
@americanair when will the old 777-200 fly ord-pvg get upgraded?,0
@americanair i know. just a little cold weather humor. :),0
@americanair none of the #lax flights into #dfw have been cancelled flightled. those landing before and after ours are fine. completely arbitrary.,1
@americanair that doesn't really answer my question. maybe if i provide more details you can give me clarification...,-1
@americanair this delayed bag was for my friend lisa pafe. she got her bag after 3 days in costa rica. issue no updates on your system.,-1
@americanair thanks!,0
@americanair aww thanks aa..dfw was on gma up here this am..so i understand ..btw a.a is my airline when im able to trv..love you guys.:),1
@americanair these are some awesome photos. thanks for sharing! 😁,1
"@americanair new plane, #gogo, easy power for laptop, iphone, just missing a good boat-style swivel cup holder for my #dietcoke #happyflier",1
@americanair how about some rampers at gate b40 dfw? waiting to be marshaled in,-1
@americanair you cancelled flight my flight and there’s no way to rebook on the website or app? i have to wait 35 minutes on hold? #fail cc @delta,-1
@americanair i thought all those planes were retired? #md80,0
just got off the phone @americanair customer service. only 8 minutes to get my issue resoled. you guys are awesome.,1
@americanair thanks for the info is there a number i can call to speak to a person? it's going to take an hour to type it out,1
"@americanair we are off to kax premium. hoping this flight is better food, tv now i know how to work it and service. tnx",0
@americanair @beantownmatty sounds like a date!,1
@americanair i'm frustrated by all of the @usairways attitude toward #execplat members. #thenewamerican,-1
@americanair another day another grievance with this airline. no customer service,-1
"@americanair you've misunderstood. @usairways would not do a same day flight change for me. the gate agent said, ""no.""",-1
@americanair flight 35. i'm on my way.,0
@americanair car accident on my way to the airport. missed flight from rno to dca. trying to resched but your line has 2 hr wait,-1
@americanair thanks so much!,0
"“@americanair: we hope you enjoy the #winterweather and brought your warm coat and gloves, maria!” yup! new beanie http://t.co/aneqxzr4bp",1
@americanair @lpalumbo what weather sun is out,-1
@americanair so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,-1
@americanair any idea on what the wait time is for refunds from @usairways? i was told a few days over the phone - but it's well past that.,-1
@americanair i was happy to purchase the upgrade. if only it was avail on my next flight.,1
@americanair it is now going to be reported to the police due to the sexual assult sad that you didn't care,-1
@americanair 4th flight rebooked to is not cancelled flighted! woo-hoo. going to make it to @laguardiaair,-1
@americanair my flight to dfw from lit on my way to pdx tomorrow was cancelled flighted. can you help me?,0
@americanair the issue is the lack of consideration of an announcement made so late flight when the gate agent had been there for over an hour.,-1
@americanair i understand. but why is this the only flight of the day not going out? twice?! i'm now out of extra meds and diapers for baby.,-1
@americanair i sure do. i'm running version 3.10.0,0
@americanair you could train your flight attendants to have some manners and decency,-1
@americanair @dfwairport you 2 together are the best part of flying!,1
@americanair over the last year 50% of my flights have been delayed or cancelled flightled. i'm done with you.,-1
@americanair fyi...call stilling getting dropped. after an hour of continuous dialing. attempted to cancelled flight online but not able to. help!!!,-1
@americanair how can i get you guys to respond to my tweets and dm??? really sad feeling to be ignored.,-1
@americanair @souljacoy what is aa going to do to fix their utterly embarrassing customer service? you won't even answer the dang phone!,-1
@americanair 800 number will not even let you wait for next customer rep. very frustrating. can't talk to humans.,-1
@americanair i want to speak to a human being! !! this is not an obscene request!,-1
@americanair no response to dm or email yet. customer service?,-1
@americanair should reconsider #usairways acquisition. flight 1843 aa gold flyers insulted by attendant for hanging jacket!,-1
@americanair thank you.....you do the same!!,1
@americanair you need to work harder on the disconnect between your intention and the reality your passengers face,-1
"@americanair - how long does it take to get credit to my aa account? traveled in jan &amp; only one leg reported. asked for credit, no response.",-1
@americanair hopefully you ll see bad ones as opportunity to get better and not dwell in it... and the good ones as encouragement words!,1
"@americanair okay, i think 1565 has waited long enough for a gate at dfw...",-1
@americanair why would i even consider continuing your point program when i received no perks or continued bad customer service? #senseless,-1
@americanair we've already made other arrangements ourselves.,0
@americanair thanks for getting back to me. but i will find other airlines in the future.,-1
@americanair why would i pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,-1
"@americanair stranded for 24 hours in mia, patrick casimir has been the only aa staff to apologize for the great inconvenience #unreal",-1
"@americanair no thanks. as i said, being denied miles that expired one week ago was the last drop for me; plan to avoid aa as possible.",-1
"@americanair sorry so late flight, responded to your dm.",-1
"@americanair believe me, i understand. flight #2955. was originally booked for sunday. flight was cancelled flighted and rescheduled for today.",-1
"@americanair aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit sunday. #nocareforcustomers",-1
@americanair mold on my flight?!? us3825 #filthyplane #hopeidonotgetsick http://t.co/zik2uoxgnw,-1
@americanair 767 seconds from touchdown at madrid airport in april 2013 #avgeek http://t.co/1ywxrfn0gr,0
"@americanair i slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",-1
"@americanair is the new 9:45 time confirmed or it may get cancelled flightled? traveling with kids, need to be certain. thx",0
@americanair 1hr 46 min. cost of flight change $788. was $188 2hrs ago b/f drop call. cancelled flighted flight. asked 4 refund.,-1
@americanair it's not just frustrating--it was paid for! how do we get a refund?,-1
"@americanair dm the locator code, thanks.",0
@americanair thank you!,1
"@americanair i sure hope you all can fix @usairways. good luck, their service sucks. #nexttimeiwillflysouthwest",-1
@americanair thanks for no fresh food on my cross country flight and for making my connection so close no time to eat. tpa-dfw-lax,-1
"@americanair my flight got cancelled flightled from grk to dfw, then to lex for tomorrow and i need it rebooked.",0
@americanair do you have any sort of live chat feature? we're in the uk right now and that call would cost us alot. :(,0
@americanair your planes made me miss 2 connections in 2 days. thanks for nothing,-1
@americanair i purchased main cabin xt for f-1571aus. flight was cancelled flightled and i was rescheduled on 1600 with regular seats. credit?,-1
.@americanair just disappointed with the flight booking problems process and add’l fees to sit together on a more crowded flight. not impressed so far :-/.,0
@americanair thanks,1
@americanair thx for responding. i cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,-1
@americanair i did,0
.@americanair can you connect me to a person without having to wait 2+ hours on hold? i still haven't been able to resolve the problem.,-1
@americanair r u serious?? 304min #delay with #americanairlines #aa2444 #ohio - #dallas missed my connecting flight http://t.co/dnmsblzumr,-1
"@americanair you are jumping the gun and cancelled flighting flights that could've made it before the snow. now, more cancelled flightlations. it's ridiculous.",-1
@americanair i might look into that. my wife travels much more than i do. could we both use the membership?,0
"@americanair thank you, you too!",1
@americanair what happens when you combine top chef &amp; the beauty of san miguel de allende. my late flightst food blog. http://t.co/7t1rdrcre6,0
"@americanair great, thanks. followed.",1
@americanair this is exactly why ill be flying aa from @dulles_airport to dallas! only airline i trust!,1
@americanair this doesn't address my issue. i am on hold for 30 min to speak with an agent.,-1
@americanair got another flight. thanks you,1
@americanair u r horrible.went online to cancelled flight flight-no button-4that.called cs &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupnohelp,0
"@americanair submitted a case to aa customer relations two weeks ago, no word ever since! whats the point of even having cr?",-1
"@americanair if by near the gate you mean sitting on the plane for almost 2 hours, then yeah.",-1
@americanair i don't think you should help him at all based on his behavior. the voucher and cot seem like enough lol 😃,0
@americanair still waiting for a flight... i should get my money back,-1
@americanair i cancelled flighted my flight. i really don’t need this much trouble.,-1
"“@americanair: @andrew_wasila we're sorry you were uncomfortable, andrew. what can we do for you?” sma",-1
"@americanair hi, can you please ticket my award ticket? the status is ""on request"" now. thanks.",0
@americanair got back eventually! was a rollercoaster. once i got to the airport &amp; got to speak to someone things got fixed very quick.,1
@americanair that's 16+ extra hours of travel time. missed vacation time and now you guys are messing with my professional life.,-1
"@americanair checked in on app since yesterday. confirmed upgrade &amp; carry on, got to counter &amp; manager upgraded somebody else on my seat!",-1
@americanair trying desperately to get my boyfriend booked on the same us airways flight as myself for the same price. can you help?,0
"@americanair yes yes yes,so glad to be headed home!",1
@americanair don't worry. i'll be sending a letter with what i expect from you for compensation. i fly twice a week w/you guys...for now,-1
@americanair thanks!!,1
@americanair thanks keep me updated just hope i make either of my connections to killeen tx,1
@americanair i have been on hold w/customer service line for 68 minutes. this after i was on phone with an agent for 35 min b/f call droped,-1
@americanair i tried to book a rwrd and was told i couldnt. bought tix on usair (now aa-no choice) didn't bother to + aadv# with this svc...,-1
@americanair did you know that suicide is the second leading cause of death among teens 10-24?,0
@americanair narrowly made standby...lots of snags this trip!,-1
@americanair @pbpinftworth iphone 6 64gb (not 6 plus),0
"@americanair i ordered it as i always do. but on a 9hour flight delayed for 4 hours, it was worse than ever before when you forgot my meal.",-1
@americanair thanks so much!,1
"@americanair @robertdwyer aa doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same",0
@americanair i need a flight out tonight. isn't there anything else?,-1
@americanair thank you for the confirmation.,1
"@americanair spent $8 for the choppiest feed of ""whiplash"" ever. #americanairlinesfail #iwantmymoneyback",-1
@americanair ok i will call them likely tmrw uk time to question the process getting the change charge reversed due to a bereavement,0
@americanair - please find my bag!! in singapore for three days already without my bag. last known destination lax tag: 580815 please help.,-1
@americanair “inconvenient” is such a convenient word.,-1
"@americanair
 your response could have made all the difference. it could have made the situation better. no trust...get lost like my bag.",-1
"@americanair delayed on the way to puerto rico and delayed on the way back to new york, this is disgraceful",-1
"@americanair that's ok...you may keep my $25 and lose my bag with no info, but you no longer have my trust. bad way to handle this.",-1
@americanair come on i just want to go home i can't miss another day of work #stuckinmemphis #texasisclosed,-1
@americanair here is the photo ;) http://t.co/vmquurzupw,0
@americanair you guys are killing me. http://t.co/22ipgeicsm,-1
@americanair aww cool! it's nice to know they are still up above my head then. one of my faves.,1
@americanair what's the status of flight 1357 out of sju?,0
"@americanair would love to dm you, but my twitter app says you're not following me and i can't.",-1
"@americanair its not that i wasn't offered ""perks"" by @usairways. i asked and was told, ""no."" #thenewamerican",-1
@americanair good care of their customers if anything happen to then take you @delta for getting me back to nyc !! screw you @americanair,-1
@americanair cost me over 200 dollars because flight was cancelled flightled and couldn't even give me a food comp!! fly @jetblue @delta they take,-1
@americanair they will just say dumb things to beat around the bush ! if you're flight cancelled flightled be prepared for no compassion from them,-1
@americanair yes to the ios. i'm running ios 8.1.3,0
@americanair worst company ever please do not fly with them i repeat please do not fly !! they will not credit you if you're delayed,-1
"@americanair continues to win: i've never missed a flight before, but a nice little quiet gate change made it possible. sheesh.",-1
@americanair - keeping aa up in the air! my crew chief cousin alex espinosa in dfw! http://t.co/0hxlnvzknp,1
"@americanair lost my cats, missed their flights, kept them crated 30 hrs for a would-be 5 hr trip. you'll never touch my pets again.",-1
@americanair don't worry you won't steal my money again,-1
@americanair why am i continually getting put on hold by painfully inexperienced people when calling your platinum desk?!,-1
@americanair pretty lame response to a two paged single spaced letter http://t.co/acebo6elpa,-1
"@americanair 
it's not what happens to us that matters...it's our response that matters. way to drop the ball aa.",-1
"@americanair i am looking for help on usairways award travel booked for wife and two boys, no seats assigned.",-1
@americanair @clarkey_19 we done it with 1 truck... no biggie 😄,1
@americanair and @itunesmusic have put me in bad mood. i haven't been this angry since spagnuolo coached the #rams,-1
@americanair and they cancelled flighted my flight and left me with no help to find a hotel to stay in. i slept in an airport for a night-_-,-1
"@americanair flight 1181 out of vegas to dfw. cancelled flightled sunday and monday, no whammie today!",-1
"@americanair ""airport snow removal method #22...""
keep up the good work folks, this is where cessna's become 747's! http://t.co/oumc1lrxdn",1
@americanair these birds could fly to south america for example #argentina,0
@americanair my flight 386 from jacksonville fl to dallas is showing cancelled flightled. what is going on? am i rebooked on another flight?,-1
"@americanair great, thanks!",1
@americanair awesome. thanks!,1
@americanair my flight 386 to dallas from jacksonville fl has been cancelled flightled. no one has notified me. what's going on?,-1
@americanair extremely upset that your baggage handlers decide to go in my luggage and take my belongings,-1
"@americanair flight 65 delayed over 4 hours on 2/22, had no gf meals despite my early request, attendant seat fell on my leg #badservice",-1
"@americanair but, what i can always rely on when i fly usair or american is that employees will be rude and unhappy.",-1
@americanair robocalls me with another cancelled flightation. and then when i don’t accept the change it won’t let me connect to an agent. just wow.,-1
"@americanair said that aa does not provide in-flight wifi on the routes to china based on some federal laws, but united does, why is that?",-1
"@americanair right. but more than two hours late flight, and it seems due to poor communication, which sounded like it was annoying on-plane staff",-1
@americanair i'm not sure what happened to my usairways status when the merger took place.,-1
@americanair can u help rebook passenger via twitter/dm. been on hold for 1.5 hours. thanks!,-1
"@americanair i'd like to apologize to the gate agent for flight aa76, i was not aware that zone 1 was after the nine other precious gems.",-1
@americanair my key point of confusion is whether i can make this change even though the initial flight booking problems was on us airways metal?,0
@americanair origin/destination/dates are the same. going from us airways connecting flight to aa direct flight. award is saver level.,0
@americanair when will the old 777-200 fly ord-pvg get upgraded?,0
@americanair i know. just a little cold weather humor. :),0
@americanair none of the #lax flights into #dfw have been cancelled flightled. those landing before and after ours are fine. completely arbitrary.,-1
@americanair that doesn't really answer my question. maybe if i provide more details you can give me clarification...,-1
@americanair this delayed bag was for my friend lisa pafe. she got her bag after 3 days in costa rica. issue no updates on your system.,-1
@americanair thanks!,1
@americanair aww thanks aa..dfw was on gma up here this am..so i understand ..btw a.a is my airline when im able to trv..love you guys.:),1
@americanair these are some awesome photos. thanks for sharing! 😁,1
"@americanair new plane, #gogo, easy power for laptop, iphone, just missing a good boat-style swivel cup holder for my #dietcoke #happyflier",1
@americanair how about some rampers at gate b40 dfw? waiting to be marshaled in,-1
@americanair you cancelled flight my flight and there’s no way to rebook on the website or app? i have to wait 35 minutes on hold? #fail cc @delta,-1
@americanair i thought all those planes were retired? #md80,0
just got off the phone @americanair customer service. only 8 minutes to get my issue resoled. you guys are awesome.,1
@americanair thanks for the info is there a number i can call to speak to a person? it's going to take an hour to type it out,0
"@americanair we are off to kax premium. hoping this flight is better food, tv now i know how to work it and service. tnx",1
@americanair @beantownmatty sounds like a date!,1
@americanair i'm frustrated by all of the @usairways attitude toward #execplat members. #thenewamerican,-1
@americanair another day another grievance with this airline. no customer service,-1
"@americanair you've misunderstood. @usairways would not do a same day flight change for me. the gate agent said, ""no.""",-1
@americanair flight 35. i'm on my way.,0
@americanair car accident on my way to the airport. missed flight from rno to dca. trying to resched but your line has 2 hr wait,-1
@americanair thanks so much!,1
"“@americanair: we hope you enjoy the #winterweather and brought your warm coat and gloves, maria!” yup! new beanie http://t.co/aneqxzr4bp",1
@americanair @lpalumbo what weather sun is out,-1
@americanair so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,-1
@americanair any idea on what the wait time is for refunds from @usairways? i was told a few days over the phone - but it's well past that.,-1
@americanair i was happy to purchase the upgrade. if only it was avail on my next flight.,-1
@americanair it is now going to be reported to the police due to the sexual assult sad that you didn't care,-1
@americanair 4th flight rebooked to is not cancelled flighted! woo-hoo. going to make it to @laguardiaair,-1
@americanair my flight to dfw from lit on my way to pdx tomorrow was cancelled flighted. can you help me?,-1
@americanair the issue is the lack of consideration of an announcement made so late flight when the gate agent had been there for over an hour.,-1
@americanair i understand. but why is this the only flight of the day not going out? twice?! i'm now out of extra meds and diapers for baby.,-1
@americanair i sure do. i'm running version 3.10.0,0
@americanair you could train your flight attendants to have some manners and decency,-1
@americanair change fee = same price of new ticket... not logical,-1
@americanair nice to read it! thank you very much!,1
@americanair we have been advised to turn this issue over to the police due to the sexual assult thank you for allowing that on your plane!,-1
@americanair fuck you.,-1
"@americanair 
not giving you a hard time...just looking for basic customer service after aa lost my bag. eta on it's return, please????????",-1
@americanair i bet they do! i'm sure they have some form of wear and tear on their skin. i hope they will survive the rest of the winter xxx,0
@americanair @dfwairport me too!! love living so close so i always have great views!,1
@americanair thanks!,1
@americanair can someone contact me about my awful experience with american airlines this weekend,-1
"@americanair actually, online indicates the only seating available is at a premium cost..why not allow seat selection at time of purchase",-1
"@americanair your definition and mine of 10 min is vastly different. i understand the need to get off the plane for maint, but be honest.",-1
@americanair @dfwairport you 2 together are the best part of flying!,1
"@americanair @dfwairport guys, let it go. http://t.co/voxcghciji",1
@americanair is there a way to add my aa number to an itinerary that doesn't involve sitting on hold for 1.5 hours?,-1
@americanair i can hardly believe it! bundle up and stay warm! 😉,1
@americanair you're right. someone is up to something...,0
@americanair the flight is not going to make the connection to #mex #aa2444,-1
@americanair thanks for sharing these photos! round of applause for your crews! we appreciate all their hard work.,1
@americanair can i get a free ticket to hawaii for being fabulous,0
"@americanair 1-the lavatory freezes, 2- problem with a nitrogen line 3-a low tire with the inflating equipment malfunctioning #aa2444 and...",-1
"@americanair i want to change my flight for next week, they will still charge me. waiting for fligt status",0
"@americanair @dfwairport that's dfw!? omg! yeah cold, everywhere!",0
@americanair great customer service thanks,1
"@americanair when flight booking problems an int'l flight online, do i have to provide a passport number when flight booking problems or just when i arrive at airport?",0
@americanair yes they do http://t.co/wcsazzqpae,0
@americanair hook me up with a free trip to barbados and i will tell you the secret beaches to see,0
"@americanair why did flight 1636 get cancelled flightled? waiting for a rep to rebook, but wondering if there will be other issues getting out.",-1
@americanair we are going to the police dept due to the sexual assult that your stewardess allowed to occur and your lack of concern,-1
@americanair thank you for responding so quickly to my tweets i do appreciate that.,0
@americanair i am trying to change the time of a flight i already purchased and was told i have to pay a $400 change fee. ridiculous.,-1
@americanair please email me at temorris2010@hotmail.com. willing to discuss my experience &amp; give another try would like to speak directly,0
"@americanair if my flight gets cancelled flightled i should be able to reschedule to any date i want, not the next day or 2 days after",-1
@americanair since you don't care about what happens to your passengers on your planes we will now be contacting the police dept,-1
@americanair why are @usairways gold forced to pay for an upgrade? open seats in 1st and not offered to gold/sapphire,-1
“@americanair: bet these birds wish they'd flown south for the #winter... http://t.co/ty9c0gae2o” lol,0
"@americanair 
i still think american airlines is great...i would just like to be treated better. loyal customers first, right?",1
@americanair if i could fly an md80/dc10 i would be so happy i live that plane so much md80 is love md80 is life.,1
@ods1819 aren't you glad this isn't you rt @americanair: bet these birds wish they'd flown south for the #winter... http://t.co/hepknpuzwu,0
@americanair second pic from cdg?,0
@americanair i'm sure all these birds will be in warmer weather soon.,0
"@americanair it's been 3 weeks and no reply from customer relations yet. running out of time, please help. request: 1-2888155964 thanks",-1
@americanair this is very true. another reason why we stay south in the winter months of travel http://t.co/fgjbex480d,0
"@americanair would have had to fly real far south, huh? #winterweather #brrr",0
@americanair um. down south has snow too #atl,0
@americanair i'm sure they did. it's certainly chilly back east today! 😮,0
@americanair any reason why my 1463 flight to chicago is boarding and i still don't have a seat assignment? seriously?,-1
"@americanair @usairways if this is how your merger is going to go, you fail! huge probls w/comm on dfw storm. cxld rtrn flts. not cool!!!",-1
@americanair why does it feel like i'm being nickeled and dime to enjoy a flight with aa? i purchased a tkt but have to pay extra for a seat,-1
@americanair flight 2559 it's been delayed every hour since 8:55 am.,-1
@americanair do you still use dc9's?,0
happy #tt to my friends @americanair . hope the weather isn't causing you too many headaches.,1
"@americanair if i've booked an aa award on usair metal, and space opens up on aa metal, can i change to the aa flight without fees?",0
@americanair well have all day and all the time in the world,1
@americanair can't unload flight #3322 because jetway is broken. #steps #planb? #waiting nearly an hour,-1
"@americanair i'd love to take my seat, but it appears as though someone already has. #disappointed #upgrademe #wtf http://t.co/9gx5mmmubb",-1
"@americanair if i want to change my flight due to weather conditions in dallas this weekend, i should be able to cover change fee with miles",0
